short_name,nationality_name,overall,potential,value_eur,international_reputation,pace,shooting,passing,defending,physic,player_positions
L. Sobiech,Germany,75,75,6000000.0,1,51.0,51.0,47.0,76.0,74.0,CB
J. Hendrick,Republic of Ireland,75,77,8000000.0,1,72.0,69.0,74.0,70.0,76.0,"CAM, CM"
S. Igboun,Nigeria,75,75,7500000.0,1,92.0,71.0,65.0,34.0,80.0,"ST, LM, RM, CF"
M. Caraglio,Argentina,75,75,7000000.0,1,57.0,76.0,61.0,27.0,80.0,ST
K. Ansarifard,Iran,75,75,7000000.0,1,76.0,73.0,56.0,43.0,70.0,ST
Rúben Micael,Portugal,75,75,6000000.0,2,67.0,70.0,78.0,50.0,63.0,CM
A. Pulido,Mexico,75,76,8000000.0,2,84.0,73.0,62.0,36.0,69.0,"ST, CF"
O. Assaidi,Morocco,75,75,6500000.0,2,82.0,70.0,68.0,33.0,52.0,"LM, ST"
O. Hawsawi,Saudi Arabia,75,75,2700000.0,2,72.0,57.0,53.0,74.0,82.0,CB
J. Kana-Biyik,Cameroon,75,76,6500000.0,2,64.0,31.0,49.0,74.0,79.0,CB
J. Hoilett,Canada,75,75,7000000.0,2,91.0,70.0,68.0,32.0,64.0,"LW, LM"
J. Stanislas,England,75,75,7000000.0,1,80.0,69.0,72.0,32.0,58.0,"RM, LM"
D. Diekmeier,Germany,75,75,5500000.0,2,86.0,40.0,65.0,71.0,74.0,RB
L. Barrios,Paraguay,75,75,5500000.0,3,66.0,74.0,65.0,47.0,69.0,ST
D. Vera,Uruguay,75,75,5500000.0,1,67.0,73.0,65.0,31.0,73.0,ST
J. Johansson,Sweden,75,76,6500000.0,1,55.0,63.0,65.0,74.0,82.0,"CDM, CM"
M. Leye,Senegal,75,75,3500000.0,1,68.0,73.0,71.0,38.0,70.0,ST
M. Fritzler,Argentina,75,75,4900000.0,1,56.0,50.0,63.0,75.0,74.0,"CDM, CM"
C. Daniels,England,75,75,4800000.0,1,76.0,58.0,72.0,72.0,70.0,"LB, LWB"
A. Pérez,Colombia,75,75,900000.0,1,50.0,64.0,68.0,73.0,75.0,CDM
Aitor Sanz,Spain,75,75,3800000.0,1,66.0,62.0,74.0,68.0,77.0,"CDM, CM, CAM"
T. Fountas,Greece,75,77,7000000.0,1,88.0,75.0,66.0,47.0,65.0,"CF, ST, CAM"
Francis,Spain,75,80,9000000.0,1,80.0,61.0,71.0,65.0,49.0,"RM, RWB, RB"
Dani Raba,Spain,75,82,9500000.0,1,73.0,66.0,72.0,38.0,61.0,"RM, CAM, CM, ST"
Yuri Ribeiro,Portugal,75,81,7500000.0,1,77.0,51.0,70.0,71.0,69.0,LB
P. Retsos,Greece,75,85,9000000.0,1,72.0,35.0,59.0,75.0,74.0,"CB, RB, LB"
A. Diakhaby,France,75,80,9000000.0,1,82.0,71.0,65.0,24.0,54.0,"ST, RM"
Tchê Tchê,Brazil,75,80,8500000.0,1,80.0,67.0,73.0,69.0,58.0,"CM, CDM"
Felipe Vizeu,Brazil,75,87,12000000.0,1,75.0,73.0,55.0,30.0,70.0,ST
José Mirazar,Brazil,75,75,3400000.0,1,75.0,65.0,76.0,35.0,65.0,"LW, CAM"
J. Barrera,Colombia,75,84,10500000.0,1,81.0,65.0,74.0,42.0,55.0,"CAM, RM"
M. Jensen,Denmark,75,81,9000000.0,1,74.0,67.0,73.0,64.0,70.0,CM
Borja Valle,Spain,75,78,8500000.0,1,74.0,76.0,68.0,46.0,63.0,"ST, LM"
D. Lukebakio,Belgium,75,82,9500000.0,1,84.0,72.0,67.0,26.0,61.0,"RM, ST"
A. Ounas,Algeria,75,84,10500000.0,1,87.0,69.0,70.0,44.0,57.0,"RW, LM"
M. Zajc,Slovenia,75,82,9500000.0,1,70.0,70.0,74.0,52.0,58.0,"CAM, CM"
G. Shoji,Japan,75,80,7500000.0,1,81.0,41.0,52.0,75.0,79.0,CB
S. Ghoddos,Iran,75,80,9000000.0,1,81.0,73.0,68.0,44.0,72.0,"ST, LM"
L. Dimata,Belgium,75,83,10000000.0,1,82.0,73.0,58.0,35.0,79.0,ST
C. Larin,Canada,75,83,10000000.0,1,71.0,75.0,46.0,26.0,77.0,ST
A. Romero Gamarra,Paraguay,75,83,10000000.0,1,83.0,66.0,72.0,47.0,58.0,"CAM, RM"
Carlitos,Spain,75,75,7000000.0,1,84.0,73.0,68.0,26.0,70.0,ST
Ivi,Spain,75,81,9000000.0,1,80.0,75.0,68.0,43.0,62.0,"LM, RM, ST"
E. Thommy,Germany,75,79,8500000.0,1,77.0,69.0,74.0,33.0,52.0,"LM, RM, CAM"
Chema Rodríguez,Spain,75,78,7000000.0,1,69.0,57.0,58.0,74.0,75.0,CB
J. Pivarić,Croatia,75,75,5000000.0,1,76.0,64.0,69.0,70.0,64.0,"LB, LM"
Idris,Senegal,75,75,2700000.0,1,53.0,52.0,61.0,75.0,85.0,CDM
Marlon,Brazil,75,82,8000000.0,1,60.0,44.0,59.0,74.0,74.0,CB
Ailton,Brazil,75,81,7500000.0,1,85.0,60.0,63.0,71.0,75.0,LB
A. Grassi,Italy,75,83,9500000.0,1,69.0,63.0,72.0,67.0,67.0,CM
L. Lerager,Denmark,75,78,8500000.0,1,65.0,66.0,69.0,70.0,76.0,"CM, CDM"
B. Alemán,Uruguay,75,75,6500000.0,1,79.0,72.0,73.0,66.0,71.0,"CAM, LM, CM"
B. Verstraete,Belgium,75,80,7500000.0,1,72.0,57.0,70.0,73.0,79.0,"CDM, CM"
Júlio Tavares,Cape Verde Islands,75,75,6500000.0,1,60.0,73.0,53.0,30.0,74.0,ST
D. Bocanegra,Colombia,75,75,4400000.0,1,72.0,55.0,68.0,74.0,78.0,"RB, CB"
Adama,Spain,75,86,11500000.0,1,96.0,61.0,63.0,25.0,75.0,"RW, RM"
M. Cabrera,Uruguay,75,75,5000000.0,1,76.0,56.0,75.0,55.0,62.0,"CAM, CM"
F. Helander,Sweden,75,77,7000000.0,1,49.0,33.0,44.0,78.0,77.0,CB
L. Schaub,Austria,75,80,9000000.0,1,77.0,66.0,69.0,38.0,66.0,"RM, LM, CAM"
João Teixeira,Portugal,75,78,8500000.0,1,72.0,65.0,70.0,37.0,60.0,"CAM, LM"
Júnior Urso,Brazil,75,75,5000000.0,1,68.0,65.0,65.0,72.0,77.0,"CDM, CM"
M. Krmenčík,Czech Republic,75,80,9000000.0,1,75.0,72.0,57.0,27.0,77.0,ST
E. Dilaver,Austria,75,77,6500000.0,1,70.0,46.0,57.0,75.0,74.0,"CB, RB"
T. Serero,South Africa,75,75,6500000.0,1,80.0,50.0,68.0,67.0,57.0,"CM, CDM"
Fabrício,Brazil,75,75,7000000.0,1,67.0,76.0,66.0,36.0,76.0,"ST, LW"
P. Gouano,France,75,82,8000000.0,1,66.0,25.0,50.0,75.0,76.0,CB
Nildo Petrolina,Brazil,75,75,5000000.0,1,82.0,70.0,72.0,57.0,58.0,"LW, RW"
C. Ciano,Italy,75,75,6500000.0,1,80.0,70.0,72.0,27.0,61.0,"CAM, ST"
A. Donnarumma,Italy,75,75,7000000.0,1,84.0,74.0,59.0,33.0,63.0,ST
R. Amalfitano,France,75,75,6500000.0,1,65.0,60.0,71.0,69.0,60.0,"CM, CDM"
N. Benezet,France,75,75,7000000.0,1,77.0,71.0,71.0,32.0,54.0,"CAM, LM, RM"
A. Cornelius,Denmark,75,79,8500000.0,2,68.0,73.0,53.0,39.0,81.0,ST
M. Leckie,Australia,75,75,7000000.0,2,90.0,69.0,66.0,55.0,73.0,"RM, LM, RW"
B. Douglas,Scotland,75,75,5500000.0,1,77.0,64.0,75.0,70.0,69.0,"LB, LWB"
S. Kittel,Germany,75,77,8000000.0,1,73.0,69.0,74.0,34.0,55.0,"LW, LM, CAM"
M. Çağıran,Turkey,75,79,7000000.0,1,68.0,68.0,75.0,71.0,78.0,"CDM, CM"
H. Behrens,Germany,75,75,6500000.0,1,67.0,71.0,65.0,76.0,82.0,"CM, CDM"
M. Vydra,Czech Republic,75,77,8000000.0,1,84.0,75.0,67.0,35.0,62.0,"CAM, CF, ST"
Guerrero,Spain,75,75,7000000.0,1,67.0,74.0,66.0,42.0,68.0,ST
M. Diamé,Senegal,75,75,5500000.0,2,68.0,71.0,68.0,75.0,80.0,"CM, CAM"
D. Alar,Austria,75,75,7000000.0,1,74.0,76.0,64.0,32.0,71.0,"ST, CAM"
J. Urretaviscaya,Uruguay,75,75,6500000.0,1,85.0,70.0,72.0,34.0,63.0,"RW, RM"
A. Barrada,Morocco,75,75,6500000.0,1,75.0,67.0,75.0,42.0,67.0,"CAM, RM, LM"
V. Ignatiev,Russia,75,75,4400000.0,1,81.0,67.0,73.0,73.0,67.0,"RB, RM, LM"
K. McDonald,Scotland,75,75,5000000.0,1,55.0,59.0,71.0,72.0,75.0,"CDM, CM"
S. Johansen,Norway,75,76,7500000.0,1,70.0,70.0,74.0,67.0,74.0,CM
T. Kádár,Hungary,75,75,5500000.0,1,70.0,34.0,65.0,76.0,79.0,"CB, LB"
A. Tymoshchuk,Ukraine,75,75,375000.0,3,53.0,58.0,68.0,78.0,72.0,CDM
K. Nolan,England,75,75,2800000.0,2,52.0,77.0,73.0,61.0,79.0,"CAM, CM"
R. Dunne,Republic of Ireland,75,75,1000000.0,2,23.0,42.0,35.0,76.0,75.0,CB
P. Ochs,Germany,75,75,2500000.0,2,76.0,54.0,72.0,73.0,74.0,"RB, RM"
D. Colotto,Argentina,75,75,1500000.0,2,55.0,54.0,51.0,77.0,74.0,CB
M. Chamakh,Morocco,75,75,3300000.0,2,68.0,75.0,71.0,49.0,76.0,"ST, CF, CAM"
S. Sidwell,England,75,75,2100000.0,2,59.0,71.0,71.0,75.0,75.0,"CDM, CM"
R. Cohade,France,75,75,3200000.0,2,67.0,68.0,77.0,66.0,72.0,CM
A. Nocerino,Italy,75,75,3200000.0,2,76.0,71.0,72.0,72.0,80.0,"CM, CDM"
V. Bystrov,Russia,75,75,3300000.0,2,88.0,68.0,73.0,43.0,67.0,"RW, RM"
A. Arshavin,Russia,75,75,2000000.0,2,74.0,71.0,76.0,27.0,58.0,"LW, RW"
L. N'Guemo,Cameroon,75,75,2800000.0,2,72.0,48.0,68.0,74.0,77.0,"CDM, CM"
M. Lustig,Sweden,75,75,3200000.0,1,74.0,54.0,68.0,77.0,72.0,"RB, CB"
S. Athanasiadis,Greece,75,78,4200000.0,1,76.0,75.0,65.0,43.0,70.0,ST
Juan Dominguez,Spain,75,79,3700000.0,1,64.0,55.0,75.0,54.0,67.0,"CM, CDM, CAM"
E. Botteghin,Brazil,75,75,3500000.0,1,39.0,37.0,45.0,77.0,85.0,CB
É. Álvarez Balanta,Colombia,75,84,2500000.0,1,75.0,39.0,52.0,75.0,82.0,CB
O. John,Netherlands,75,80,2900000.0,2,86.0,67.0,73.0,27.0,59.0,"LM, RM"
M. Wolff Eikrem,Norway,75,75,6500000.0,1,65.0,69.0,77.0,44.0,50.0,"CAM, CM"
J. de Guzmán,Netherlands,75,75,5500000.0,2,66.0,72.0,76.0,54.0,66.0,"CM, CDM, CAM"
F. Haroun,Belgium,75,75,3200000.0,1,55.0,66.0,65.0,74.0,82.0,"CDM, CM"
A. Mariappa,Jamaica,75,75,4300000.0,1,54.0,34.0,57.0,76.0,70.0,CB
M. Tekdemir,Turkey,75,75,4900000.0,1,60.0,59.0,65.0,74.0,74.0,"CB, CDM"
A. Epureanu,Moldova,75,75,4300000.0,1,44.0,53.0,55.0,77.0,75.0,CB
K. Furuhashi,Japan,75,75,6000000.0,1,86.0,76.0,69.0,47.0,68.0,"ST, LW"
D. Ljubicic,Austria,75,80,8000000.0,1,68.0,63.0,69.0,72.0,77.0,"CDM, CM, CB"
E. Aguilera,Argentina,75,75,3600000.0,1,59.0,56.0,53.0,78.0,80.0,CB
P. Berg,Norway,75,81,9000000.0,1,74.0,62.0,73.0,68.0,77.0,CM
R. Delgado,Argentina,75,75,3800000.0,1,82.0,65.0,72.0,73.0,82.0,"CB, LB"
A. Rodríguez,Colombia,75,75,4600000.0,1,71.0,73.0,57.0,32.0,78.0,ST
Y. González,Colombia,75,75,6000000.0,1,93.0,69.0,66.0,52.0,79.0,"RM, ST"
Alberto Perea,Spain,75,75,5500000.0,1,77.0,72.0,70.0,36.0,61.0,LM
Quique,Spain,75,75,6500000.0,1,75.0,75.0,65.0,43.0,66.0,"ST, RM, LM"
Tiago Pinto,Portugal,75,75,4800000.0,1,82.0,60.0,70.0,70.0,69.0,LB
J. Hušbauer,Czech Republic,75,75,6500000.0,1,63.0,72.0,77.0,58.0,66.0,"CM, CAM"
A. Ioniță,Moldova,75,75,6500000.0,2,64.0,68.0,72.0,75.0,78.0,"CM, CAM, CDM"
Dídac Vilà,Spain,75,75,5500000.0,1,71.0,51.0,68.0,73.0,75.0,"LB, LWB"
D. Drexler,Germany,75,75,6500000.0,1,77.0,63.0,72.0,40.0,57.0,"CAM, CM, LM"
F. Jara,Argentina,75,75,6500000.0,1,77.0,75.0,67.0,30.0,67.0,ST
F. Santander,Paraguay,75,75,7000000.0,1,69.0,74.0,63.0,32.0,79.0,ST
J. Kopic,Czech Republic,75,75,6500000.0,1,80.0,71.0,70.0,40.0,60.0,"LM, RM"
D. Royer,Austria,75,75,6500000.0,1,83.0,73.0,68.0,48.0,73.0,"LM, LW, RM"
Rúben Fernandes,Portugal,75,75,3100000.0,1,72.0,48.0,56.0,77.0,74.0,CB
P. Klement,Germany,75,76,8000000.0,1,69.0,70.0,74.0,40.0,57.0,"CAM, CM, RM"
Fede Vico,Spain,75,79,8500000.0,1,75.0,66.0,74.0,49.0,52.0,"CAM, LM, RM"
B. Zuculini,Argentina,75,78,7500000.0,1,66.0,58.0,69.0,70.0,77.0,"CDM, CM"
E. Gnahoré,France,75,80,8500000.0,1,66.0,67.0,71.0,68.0,77.0,"CM, CDM"
M. Domizzi,Italy,75,75,700000.0,2,45.0,51.0,46.0,80.0,72.0,CB
P. Odemwingie,Nigeria,75,75,2500000.0,3,76.0,76.0,69.0,37.0,72.0,"RM, ST, LM"
P. Trochowski,Germany,75,75,3400000.0,2,70.0,76.0,78.0,50.0,64.0,"CM, CAM, RM"
C. Schulz,Germany,75,75,2400000.0,2,60.0,42.0,66.0,77.0,73.0,"CB, LB"
Cani,Spain,75,75,2500000.0,2,74.0,72.0,74.0,45.0,62.0,"LM, RM, CAM"
Dorado,Spain,75,75,2400000.0,1,52.0,37.0,60.0,78.0,66.0,"CB, LB"
S. Padoin,Italy,75,75,2600000.0,2,73.0,63.0,75.0,75.0,68.0,"LB, RM, CM"
R. Vitiello,Italy,75,75,2400000.0,1,66.0,47.0,58.0,79.0,62.0,"CB, RB"
Y. Gouffran,France,75,75,3800000.0,2,76.0,74.0,71.0,50.0,70.0,"LM, RM"
M. Cassani,Italy,75,75,2600000.0,2,72.0,57.0,68.0,74.0,73.0,"RB, CB"
Luís Alberto,Brazil,75,75,2700000.0,1,56.0,62.0,70.0,74.0,82.0,CDM
P. Da Silva,Paraguay,75,75,700000.0,1,31.0,46.0,60.0,76.0,78.0,CB
J. Shackell,England,75,75,2700000.0,1,67.0,39.0,54.0,76.0,79.0,CB
Gonçalo Brandão,Portugal,75,75,3200000.0,2,67.0,41.0,56.0,77.0,77.0,"CB, LB"
S. Gakpé,Togo,75,75,3900000.0,2,91.0,74.0,68.0,28.0,61.0,"RM, LM, ST"
Amauri,Italy,75,75,1600000.0,2,45.0,71.0,63.0,26.0,72.0,ST
Alecsandro,Brazil,75,75,2200000.0,1,59.0,75.0,66.0,46.0,69.0,ST
Thiago Ribeiro,Brazil,75,75,3900000.0,1,77.0,75.0,70.0,38.0,69.0,"RW, ST, LW"
C. Jerome,England,75,75,4100000.0,2,86.0,75.0,68.0,44.0,81.0,ST
Casadesús,Spain,75,75,3900000.0,1,63.0,72.0,69.0,38.0,78.0,"ST, CAM"
Borges,Brazil,75,75,2200000.0,1,58.0,75.0,61.0,36.0,62.0,ST
Elustondo,Spain,75,75,3200000.0,1,60.0,64.0,74.0,73.0,79.0,"CB, CDM, CM"
Jonathan Pereira,Spain,75,75,4100000.0,1,87.0,75.0,57.0,24.0,52.0,"ST, LM"
F. Tissone,Argentina,75,75,3900000.0,2,62.0,67.0,72.0,69.0,77.0,"CM, CDM"
C. Djakpa,Côte d'Ivoire,75,75,3100000.0,1,81.0,50.0,70.0,74.0,73.0,"LB, LM"
Rincón,Brazil,75,75,3200000.0,1,47.0,35.0,50.0,78.0,73.0,CB
S. Bassong,Cameroon,75,75,3200000.0,2,69.0,35.0,49.0,77.0,81.0,CB
B. Janković,Serbia,75,75,3500000.0,2,71.0,71.0,77.0,35.0,70.0,"LW, RW"
M. García,Argentina,75,75,3800000.0,1,83.0,66.0,76.0,25.0,60.0,"CAM, CM, RM"
Breno,Brazil,75,77,4100000.0,2,70.0,39.0,62.0,75.0,73.0,"CB, CDM"
B. Sako,Mali,75,75,4100000.0,2,85.0,76.0,74.0,41.0,75.0,LM
D. Opare,Ghana,75,78,4300000.0,1,89.0,63.0,64.0,71.0,75.0,"RB, LB"
M. El Kabir,Morocco,75,76,4800000.0,1,85.0,74.0,64.0,27.0,76.0,ST
Casado,Spain,75,75,3100000.0,1,80.0,60.0,67.0,71.0,75.0,LB
P. Diawara,Senegal,75,75,4300000.0,1,82.0,72.0,55.0,32.0,74.0,ST
R. Krhin,Slovenia,75,79,4400000.0,1,52.0,55.0,70.0,71.0,76.0,"CDM, CM"
E. Echiéjilé,Nigeria,75,75,3300000.0,2,73.0,60.0,63.0,76.0,85.0,LB
A. Traoré,Côte d'Ivoire,75,77,4000000.0,1,88.0,58.0,67.0,73.0,76.0,LB
E. Prib,Germany,75,77,4800000.0,1,77.0,68.0,73.0,65.0,70.0,"LM, CM, LB"
A. Büttner,Netherlands,75,77,4000000.0,1,84.0,66.0,70.0,72.0,76.0,LB
Digão,Brazil,75,76,3800000.0,1,74.0,32.0,49.0,75.0,85.0,CB
A. Bedoya,United States,75,75,4100000.0,1,71.0,72.0,73.0,57.0,70.0,"CAM, RM"
S. Dubarbier,Argentina,75,75,3000000.0,1,80.0,61.0,69.0,70.0,82.0,"LB, LWB, LM"
O. Sorg,Germany,75,77,4000000.0,1,74.0,55.0,66.0,76.0,69.0,"RB, CDM, LB"
G. Canales,Chile,75,75,2700000.0,1,57.0,79.0,68.0,29.0,79.0,"ST, CF"
P. Olkowski,Poland,75,78,4200000.0,1,86.0,58.0,66.0,72.0,75.0,RB
G. Maniatis,Greece,75,75,3200000.0,1,76.0,63.0,71.0,75.0,74.0,"CDM, CM, RB"
R. van Rhijn,Netherlands,75,78,4300000.0,2,84.0,60.0,68.0,72.0,72.0,RB
A. Hoffmann,Germany,75,80,4700000.0,1,56.0,38.0,58.0,77.0,74.0,"CB, CDM"
T. Matlaba,South Africa,75,76,3700000.0,1,85.0,74.0,69.0,74.0,57.0,"LB, LM, RB, RM"
Ekiza,Spain,75,76,3800000.0,1,67.0,39.0,55.0,76.0,77.0,CB
Toño,Spain,75,79,4300000.0,1,82.0,55.0,72.0,70.0,68.0,"LB, LWB"
Miguel Rodrigues,Portugal,75,82,5000000.0,1,65.0,34.0,50.0,77.0,75.0,CB
I. Ezekiel,Nigeria,75,83,6000000.0,1,93.0,74.0,62.0,29.0,64.0,ST
U. Spajić,Serbia,75,79,4600000.0,1,66.0,40.0,58.0,75.0,76.0,CB
Iván López,Spain,75,83,5000000.0,1,80.0,58.0,70.0,72.0,69.0,"RB, RWB"
Ş. Özbayrakli,Turkey,75,77,4000000.0,1,81.0,58.0,71.0,73.0,78.0,RB
Diego Lopes,Brazil,75,82,6000000.0,1,74.0,66.0,72.0,47.0,49.0,"CAM, CM"
S. Cárdenas,Colombia,75,76,4800000.0,1,85.0,68.0,73.0,34.0,55.0,CAM
D. Bessa,Italy,75,77,8000000.0,1,63.0,69.0,74.0,55.0,49.0,"CAM, CM"
L. Aued,Argentina,75,75,5000000.0,1,57.0,68.0,73.0,67.0,77.0,"CM, CDM"
L. Ceppitelli,Italy,75,75,5500000.0,1,54.0,33.0,35.0,76.0,74.0,CB
S. Schrijvers,Belgium,75,81,9500000.0,1,74.0,75.0,72.0,48.0,70.0,"CF, ST, CAM"
B. Dack,England,75,78,8500000.0,1,76.0,72.0,71.0,53.0,75.0,"CAM, ST"
Fran Sol,Spain,75,76,8000000.0,1,68.0,77.0,55.0,34.0,68.0,ST
T. Boyd,United States,75,81,9000000.0,1,86.0,73.0,66.0,18.0,66.0,"RM, LM"
D. Brasanac,Serbia,75,76,7500000.0,1,57.0,66.0,70.0,71.0,75.0,"CM, RM, CDM"
B. Valdez,Paraguay,75,77,7000000.0,1,65.0,36.0,55.0,76.0,76.0,"CB, RB"
Walace,Brazil,75,81,8000000.0,1,67.0,67.0,68.0,70.0,74.0,"CDM, CM"
S. Thioub,Senegal,75,79,8500000.0,1,82.0,72.0,69.0,30.0,68.0,"RM, RW, LM"
J. Alonso,Paraguay,75,80,7500000.0,1,70.0,54.0,62.0,72.0,81.0,"CB, LB"
A. Roa,Colombia,75,78,8500000.0,1,80.0,61.0,74.0,54.0,60.0,"LM, CAM"
M. Pavlović,Croatia,75,75,5500000.0,1,31.0,63.0,50.0,73.0,84.0,CB
A. Solari,Argentina,75,75,7000000.0,1,90.0,63.0,72.0,56.0,75.0,"RM, LM"
D. Valdés,Chile,75,79,8500000.0,1,79.0,68.0,72.0,52.0,70.0,"CAM, CM"
F. Bachirou,Comoros,75,75,5500000.0,1,74.0,42.0,65.0,70.0,75.0,"CDM, CM"
J. Brenet,Netherlands,75,77,6500000.0,1,87.0,36.0,61.0,71.0,70.0,"LWB, LB, RB, RWB"
J. Haberer,Germany,75,78,8500000.0,1,64.0,64.0,72.0,58.0,69.0,"CM, CAM, LM, RM"
K. Djidji,Côte d'Ivoire,75,77,7000000.0,1,70.0,32.0,55.0,75.0,73.0,"CB, LB"
S. Mitrović,Serbia,75,76,6000000.0,1,47.0,34.0,49.0,77.0,76.0,CB
M. Waris,Ghana,75,76,8000000.0,1,92.0,73.0,64.0,39.0,67.0,"ST, LM, LW"
A. El Khayati,Netherlands,75,75,6500000.0,1,73.0,74.0,73.0,38.0,70.0,CAM
Ruben Lima,Portugal,75,75,5500000.0,1,74.0,57.0,67.0,73.0,75.0,LB
M. Gulde,Germany,75,75,5500000.0,1,66.0,40.0,53.0,77.0,70.0,CB
O. Martínez,Paraguay,75,75,5000000.0,1,65.0,71.0,73.0,58.0,72.0,"CM, CDM"
B. Poulain,France,75,75,4900000.0,1,36.0,26.0,58.0,77.0,74.0,CB
Sergio Tejera,Spain,75,75,6500000.0,1,67.0,69.0,74.0,68.0,76.0,"CM, CDM"
Nuno Coelho,Portugal,75,75,4900000.0,1,57.0,44.0,64.0,74.0,72.0,"CDM, CB"
A. Mitriță,Romania,75,78,7500000.0,1,85.0,69.0,68.0,26.0,56.0,"LW, LM"
J. Dilrosun,Netherlands,75,86,12500000.0,1,84.0,65.0,65.0,44.0,53.0,LM
C. Borja,Colombia,75,75,5500000.0,1,87.0,50.0,66.0,70.0,70.0,"LB, CB"
J. Moreira,Paraguay,75,75,4800000.0,1,84.0,56.0,70.0,68.0,65.0,RB
E. Crivelli,France,75,79,8000000.0,1,54.0,74.0,63.0,30.0,84.0,ST
Merquelanz,Spain,75,78,7500000.0,1,73.0,78.0,75.0,45.0,66.0,"LW, RW, CAM"
Pedro Nuno,Portugal,75,78,7500000.0,1,68.0,74.0,76.0,38.0,59.0,"LW, CAM, CM"
Carraça,Portugal,75,76,6000000.0,1,71.0,59.0,70.0,70.0,72.0,RWB
A. Adnan,Iraq,75,76,6000000.0,1,78.0,68.0,69.0,71.0,81.0,"LB, LWB, LM"
Núrio Fortuna,Angola,75,78,7000000.0,1,85.0,61.0,65.0,71.0,74.0,"LB, LM"
J. Silva,Argentina,75,78,7000000.0,1,73.0,60.0,68.0,71.0,74.0,"LWB, LB"
L. Menossi,Argentina,75,78,6500000.0,1,76.0,62.0,72.0,67.0,70.0,"CDM, CM"
J. Lolley,England,75,75,6000000.0,1,84.0,69.0,69.0,49.0,58.0,"RM, CAM, LM"
M. Barrios,Colombia,75,75,5500000.0,1,91.0,66.0,71.0,43.0,51.0,"RM, RW, ST"
O. McBurnie,Scotland,75,79,8000000.0,1,62.0,72.0,58.0,34.0,76.0,ST
M. Rangel,Colombia,75,75,5500000.0,1,60.0,80.0,58.0,40.0,73.0,ST
S. Otálvaro,Colombia,75,75,2900000.0,1,75.0,54.0,70.0,71.0,74.0,RB
D. Ndong,Gabon,75,78,6500000.0,1,69.0,61.0,71.0,72.0,76.0,"CDM, CM"
C. Rius,Argentina,75,75,4700000.0,1,77.0,65.0,72.0,54.0,71.0,"RM, RW"
M. Bíttolo,Argentina,75,75,4800000.0,1,76.0,46.0,72.0,68.0,65.0,"LB, LWB"
A. Ricaurte,Colombia,75,75,5500000.0,1,69.0,62.0,77.0,63.0,73.0,"CAM, CM"
F. Campos,Chile,75,78,7000000.0,1,82.0,45.0,65.0,70.0,78.0,"RB, CB"
R. Azeez,Nigeria,75,78,6500000.0,1,66.0,59.0,68.0,70.0,75.0,"CDM, CM, CAM"
Frederico Venâncio,Portugal,75,78,6500000.0,1,61.0,33.0,51.0,76.0,69.0,CB
O. Nguette,Senegal,75,76,6500000.0,1,85.0,67.0,67.0,40.0,62.0,"LW, RW"
J. Sánchez Miño,Argentina,75,75,4800000.0,1,72.0,72.0,78.0,72.0,71.0,"LB, CM"
M. Quiroga,Argentina,75,75,5500000.0,1,67.0,73.0,50.0,29.0,79.0,ST
J. Wallace,England,75,76,6500000.0,1,77.0,68.0,70.0,45.0,66.0,"RM, RW, LM"
Luo Guofu,China PR,75,75,4600000.0,1,71.0,76.0,74.0,43.0,73.0,ST
C. Hourihane,Republic of Ireland,75,75,5500000.0,1,64.0,70.0,76.0,66.0,74.0,"CM, CDM"
Osmar,Spain,75,75,3700000.0,2,48.0,60.0,69.0,73.0,87.0,"CDM, CB, CM"
I. Pillud,Argentina,75,75,2100000.0,1,77.0,50.0,67.0,74.0,77.0,RB
S. Fernández,Uruguay,75,75,2300000.0,1,79.0,70.0,65.0,34.0,60.0,"RM, ST, CAM"
Nélson Oliveira,Portugal,75,75,6000000.0,1,71.0,76.0,65.0,37.0,75.0,ST
R. Hennings,Germany,75,75,4600000.0,1,65.0,80.0,62.0,40.0,77.0,ST
A. Ulmer,Austria,75,75,2100000.0,1,68.0,62.0,71.0,73.0,70.0,"LB, LWB"
W. Troost-Ekong,Nigeria,75,79,7500000.0,1,65.0,32.0,45.0,76.0,77.0,CB
B. Bianchi,Argentina,75,75,5500000.0,1,59.0,35.0,54.0,75.0,76.0,CB
C. Cueva,Peru,75,75,7000000.0,1,83.0,67.0,71.0,41.0,53.0,"LM, CAM, RM"
S. Adamyan,Armenia,75,76,8000000.0,1,81.0,73.0,64.0,37.0,70.0,"CAM, ST, LM"
M. Pisano,Argentina,75,75,7000000.0,1,81.0,69.0,71.0,42.0,47.0,"RW, CAM, RM"
S. Bastien,Belgium,75,80,9000000.0,1,73.0,67.0,73.0,66.0,71.0,"CM, CDM"
Roger Guedes,Brazil,75,80,9000000.0,1,82.0,73.0,71.0,31.0,65.0,"ST, CF"
R. Assalé,Côte d'Ivoire,75,78,8500000.0,1,91.0,73.0,68.0,29.0,51.0,ST
E. Ponce,Argentina,75,81,9500000.0,1,77.0,73.0,58.0,40.0,69.0,ST
D. Barbona,Argentina,75,78,8500000.0,1,83.0,65.0,74.0,38.0,66.0,"RM, LM"
M. Wöber,Austria,75,83,9000000.0,1,72.0,37.0,62.0,73.0,76.0,"CB, LB"
K. Onisiwo,Austria,75,75,7000000.0,1,77.0,70.0,67.0,53.0,76.0,"ST, RM"
